[Tue Feb 21 08:15:59.177257 2017] [autoindex:error] [pid 5440] [client 132.177.241.156:50764] AH01276: Cannot serve directory /web/daw1002/htdocs/: No matching DirectoryIndex (index.html,index.php) found, and server-generated directory index forbidden by Options directive
[Tue Feb 21 14:39:48.106592 2017] [:error] [pid 16542] [client 132.177.241.156:53804] PHP Parse error:  syntax error, unexpected '>' in /web/daw1002/htdocs/index.php on line 12
[Tue Feb 21 14:39:51.809721 2017] [:error] [pid 17951] [client 132.177.241.156:53806] PHP Parse error:  syntax error, unexpected '>' in /web/daw1002/htdocs/index.php on line 12
[Tue Feb 21 14:50:01.415962 2017] [:error] [pid 18801] [client 132.177.241.156:54120] PHP Parse error:  syntax error, unexpected '<' in /web/daw1002/htdocs/index.php on line 12
[Tue Feb 21 14:50:09.861040 2017] [:error] [pid 18591] [client 132.177.241.156:54132] PHP Parse error:  syntax error, unexpected '<' in /web/daw1002/htdocs/index.php on line 12
[Tue Feb 21 14:56:44.138563 2017] [:error] [pid 19463] [client 132.177.241.156:54374] PHP Notice:  Array to string conversion in /web/daw1002/htdocs/index.php on line 15
[Tue Feb 28 15:26:41.798854 2017] [:error] [pid 991] [client 132.177.241.156:58506] PHP Notice:  Undefined index: intialemail in /web/daw1002/htdocs/login.php on line 12, referer: http://daw1002.sr.unh.edu/
[Tue Feb 28 15:26:41.808449 2017] [:error] [pid 991] [client 132.177.241.156:58506] PHP Notice:  Undefined index: initialpass in /web/daw1002/htdocs/login.php on line 14, referer: http://daw1002.sr.unh.edu/
[Tue Feb 28 15:26:50.403168 2017] [:error] [pid 32669] [client 132.177.241.156:58508] PHP Notice:  Undefined index: intialemail in /web/daw1002/htdocs/login.php on line 12, referer: http://daw1002.sr.unh.edu/
[Tue Feb 28 15:26:50.403216 2017] [:error] [pid 32669] [client 132.177.241.156:58508] PHP Notice:  Undefined index: initialpass in /web/daw1002/htdocs/login.php on line 14, referer: http://daw1002.sr.unh.edu/
[Tue Feb 28 15:27:26.463716 2017] [:error] [pid 21621] [client 132.177.241.156:58512] PHP Notice:  Undefined index: intialemail in /web/daw1002/htdocs/login.php on line 12, referer: http://daw1002.sr.unh.edu/
[Tue Feb 28 15:27:26.463749 2017] [:error] [pid 21621] [client 132.177.241.156:58512] PHP Notice:  Undefined index: initialpass in /web/daw1002/htdocs/login.php on line 14, referer: http://daw1002.sr.unh.edu/
[Tue Feb 28 15:51:43.349980 2017] [:error] [pid 32405] [client 132.177.241.156:60852] PHP Notice:  Undefined index: intialemail in /web/daw1002/htdocs/login.php on line 12, referer: http://daw1002.sr.unh.edu/
[Tue Feb 28 15:51:43.350012 2017] [:error] [pid 32405] [client 132.177.241.156:60852] PHP Notice:  Undefined index: initialpass in /web/daw1002/htdocs/login.php on line 14, referer: http://daw1002.sr.unh.edu/
[Tue Feb 28 15:51:43.356968 2017] [:error] [pid 32405] [client 132.177.241.156:60852] PHP Fatal error:  Call to a member function bind_param() on a non-object in /web/daw1002/htdocs/login.php on line 26, referer: http://daw1002.sr.unh.edu/
[Tue Feb 28 15:52:27.083386 2017] [:error] [pid 32669] [client 132.177.241.156:60860] PHP Notice:  Undefined index: intialemail in /web/daw1002/htdocs/login.php on line 12, referer: http://daw1002.sr.unh.edu/
[Tue Feb 28 15:52:27.083426 2017] [:error] [pid 32669] [client 132.177.241.156:60860] PHP Notice:  Undefined index: initialpass in /web/daw1002/htdocs/login.php on line 14, referer: http://daw1002.sr.unh.edu/
